"","FIPS","GISJOIN2","OUT10","REP10","Pop10","Wage2010","Wage2011","Wage2012","Wage2013","Wage2014","Wage2015","CBSA10","CBSAName","PEA10","BEA2004","TPMetro","TPMicro","TPcombined"
"5095",5095,"G0500950",38,133,8149,25344,26446,27445,28260,28322,29074,NA,NA,139,96,NA,NA,NA
"5097",5097,"G0500970",44,237,9487,23862,24738,25637,25754,25605,26094,NA,NA,139,165,NA,NA,NA
"5099",5099,"G0500990",47,237,8997,29617,31248,33145,33134,34453,35234,NA,NA,139,165,NA,111,111
"51001",51001,"G5100010",581,533,33164,31098,30801,32699,33073,34351,35365,NA,NA,147,49,NA,NA,NA
"51003",51003,"G5100030",582,534,98970,46596,46830,48906,49272,50044,51738,16820,"Charlottesville, VA",240,137,2787,NA,2787
"51005",51005,"G5100050",583,535,16250,35396,37047,41949,32316,32740,33594,NA,NA,167,138,2845,NA,2845
"51007",51007,"G5100070",584,536,12690,31568,31004,32759,34745,35733,35883,40060,"Richmond, VA",191,137,2828,NA,2828
"51009",51009,"G5100090",585,537,32353,33249,32859,33195,33290,33915,32866,31340,"Lynchburg, VA",256,138,2901,NA,2901
"5101",5101,"G0501010",42,136,8330,22619,23116,23895,24066,23954,24135,25460,"Harrison, AR",46,159,NA,87,87
"51011",51011,"G5100110",585,537,14973,27175,27356,26609,26883,26914,28179,31340,"Lynchburg, VA",256,138,2901,NA,2901
"51013",51013,"G5100130",93,432,207627,80376,81202,80865,80704,82412,85106,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,174,2814,NA,2814
"51015",51015,"G5100150",586,653,73750,37281,37936,38909,39548,40580,41596,44420,"Staunton-Waynesboro, VA",167,71,NA,2793,2793
"51017",51017,"G5100170",583,535,4731,31513,31805,32398,34553,34758,36011,NA,NA,167,71,NA,NA,NA
"51019",51019,"G5100190",585,537,68676,30949,31880,32647,33409,34724,35658,31340,"Lynchburg, VA",173,138,2901,NA,2901
"51021",51021,"G5100210",587,654,6824,37584,38909,37867,39101,39671,41392,NA,NA,95,138,NA,NA,NA
"51023",51023,"G5100230",588,540,33148,35408,35967,36866,36362,37643,38413,40220,"Roanoke, VA",228,138,2913,NA,2913
"51025",51025,"G5100250",589,541,17434,29113,28848,30115,31288,32404,33199,NA,NA,191,137,2828,NA,2828
"51027",51027,"G5100270",590,542,24098,43717,46209,45942,45500,46343,44712,NA,NA,95,81,NA,NA,NA
"51029",51029,"G5100290",589,652,17146,31855,32665,33781,33665,34819,35651,16820,"Charlottesville, VA",191,137,2787,NA,2787
"5103",5103,"G0501030",43,137,26120,29209,29885,29904,30547,31297,31809,15780,"Camden, AR",139,96,NA,134,134
"51031",51031,"G5100310",585,537,54842,38594,39660,40385,40644,41460,42954,31340,"Lynchburg, VA",256,138,2901,NA,2901
"51033",51033,"G5100330",93,657,28545,34821,35070,34798,34773,35820,36996,40060,"Richmond, VA",140,137,2814,NA,2814
"51035",51035,"G5100350",587,539,30042,26916,26927,27191,27968,28515,29513,NA,NA,173,66,NA,1941,1941
"51036",51036,"G5100360",584,536,7256,36581,36721,36983,37214,37571,40328,40060,"Richmond, VA",57,137,2828,NA,2828
"51037",51037,"G5100370",589,543,12586,27861,27602,28422,29542,30233,32781,NA,NA,191,137,NA,NA,NA
"51041",51041,"G5100410",584,536,316236,42566,43088,43856,43741,44039,44477,40060,"Richmond, VA",57,137,2828,NA,2828
"51043",51043,"G5100430",591,544,14034,36817,38193,40152,41911,41034,43376,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",103,174,2814,NA,2814
"51045",51045,"G5100450",588,540,5190,28430,29365,29814,32344,33744,34038,40220,"Roanoke, VA",228,138,2913,NA,2913
"51047",51047,"G5100470",582,545,46689,36188,36897,37549,38047,38813,39504,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",140,174,NA,2809,2809
"51049",51049,"G5100490",589,652,10052,27640,27567,28412,28006,29247,29815,NA,NA,191,137,2828,NA,2828
"5105",5105,"G0501050",48,140,10445,28696,29049,28189,30207,28506,32054,30780,"Little Rock-North Little Rock-Conway, AR",46,96,142,NA,142
"51051",51051,"G5100510",590,656,15903,37849,40437,40650,39477,38763,38849,13720,"Big Stone Gap, VA",95,81,2475,NA,2475
"51053",51053,"G5100530",584,536,28001,37773,38302,39199,37730,38839,38139,40060,"Richmond, VA",191,137,2828,NA,2828
"51057",51057,"G5100570",592,546,11151,29558,29324,29145,30888,31170,31752,NA,NA,57,137,2828,NA,2828
"51059",51059,"G5100590",93,432,1081726,74398,76204,77744,78108,78839,80942,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5,174,2814,NA,2814
"51061",51061,"G5100610",591,545,65203,41379,42842,43113,42789,44590,46076,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",103,174,2814,NA,2814
"51063",51063,"G5100630",593,540,15279,25818,26302,26557,27404,28309,28969,13980,"Blacksburg-Christiansburg-Radford, VA",173,138,2845,NA,2845
"51065",51065,"G5100650",582,534,25691,33073,33522,34497,35400,36292,38009,16820,"Charlottesville, VA",240,137,2787,NA,2787
"51067",51067,"G5100670",588,540,56159,29194,29252,30597,30062,30866,31747,40220,"Roanoke, VA",173,138,2913,NA,2913
"51069",51069,"G5100690",591,544,78305,38204,38343,39353,39547,40166,41659,49020,"Winchester, VA-WV",103,174,2819,NA,2819
"5107",5107,"G0501070",51,142,21757,28388,27863,28884,30292,30679,31327,25760,"Helena-West Helena, AR",350,105,NA,136,136
"51071",51071,"G5100710",593,540,17286,35894,36287,37191,37051,38702,38441,13980,"Blacksburg-Christiansburg-Radford, VA",173,138,2845,NA,2845
"51073",51073,"G5100730",594,547,36858,29119,29212,29233,29877,30772,31653,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",33,173,2917,NA,2917
"51075",51075,"G5100750",584,536,21717,63733,69753,73353,76166,79958,86283,40060,"Richmond, VA",57,137,2828,NA,2828
"51077",51077,"G5100770",587,539,15533,25318,26161,26284,27334,28900,29832,NA,NA,371,66,NA,1941,1941
"51079",51079,"G5100790",582,534,18403,32304,32602,32786,32334,32997,33290,16820,"Charlottesville, VA",240,137,2787,NA,2787
"51081",51081,"G5100810",430,541,12243,30961,31524,31428,31987,36249,36922,NA,NA,191,137,2828,NA,2828
"51083",51083,"G5100830",589,543,36241,31364,31354,32004,33374,34175,34302,NA,NA,256,133,NA,NA,NA
"51085",51085,"G5100850",584,536,99863,36956,37307,37885,37872,39193,40470,40060,"Richmond, VA",57,137,2828,NA,2828
"51087",51087,"G5100870",584,536,306935,47783,48846,49035,49789,50838,51541,40060,"Richmond, VA",57,137,2828,NA,2828
